,,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG.1,xA,xG+xA,npxG,npxG+xA,Matches
102,Jimmy Briand\Jimmy-Briand,fr FRA,FW,Bordeaux,fr Ligue 1,33,1985,22,18,1525,7,1,1,1,1,0,0.41,0.06,0.47,0.35,0.41,5.7,4.9,1.0,0.34,0.06,0.39,0.29,0.35,Matches
103,Ángel Correa\Angel-Correa,ar ARG,MFFW,Atlético Madrid,es La Liga,24,1995,22,16,1491,5,6,0,0,5,0,0.30,0.36,0.66,0.30,0.66,5.6,5.6,3.2,0.34,0.19,0.53,0.34,0.53,Matches
104,Gaëtan Laborde\Gaetan-Laborde,fr FRA,FW,Montpellier,fr Ligue 1,25,1994,28,27,2237,6,5,0,0,1,0,0.24,0.20,0.44,0.24,0.44,8.3,8.3,2.7,0.34,0.11,0.45,0.34,0.45,Matches
105,Callum Wilson\Callum-Wilson,eng ENG,FW,Bournemouth,eng Premier League,27,1992,28,26,2347,8,0,0,0,9,0,0.31,0.00,0.31,0.31,0.31,8.9,8.9,2.2,0.34,0.09,0.43,0.34,0.43,Matches
106,Rachid Alioui\Rachid-Alioui,ma MAR,FW,Angers,fr Ligue 1,27,1992,28,17,1563,6,1,0,0,1,0,0.35,0.06,0.40,0.35,0.40,5.7,5.7,1.3,0.33,0.08,0.40,0.33,0.40,Matches
107,Raúl García\Raul-Garcia,es ESP,MFFW,Athletic Club,es La Liga,33,1986,25,24,2089,9,1,5,5,8,0,0.39,0.04,0.43,0.17,0.22,7.7,3.7,0.5,0.33,0.02,0.35,0.16,0.18,Matches
108,Rouwen Hennings\Rouwen-Hennings,de GER,FW,Düsseldorf,de Bundesliga,31,1987,27,23,2114,12,0,3,3,3,0,0.51,0.00,0.51,0.38,0.38,7.8,5.5,1.2,0.33,0.05,0.38,0.24,0.29,Matches
109,Joselu\Joselu,es ESP,FW,Alavés,es La Liga,29,1990,26,23,2054,9,2,0,0,5,0,0.39,0.09,0.48,0.39,0.48,7.6,7.6,2.2,0.33,0.10,0.43,0.33,0.43,Matches
110,Kevin Lasagna\Kevin-Lasagna,it ITA,FW,Udinese,it Serie A,26,1992,25,19,1750,4,0,0,0,1,0,0.21,0.00,0.21,0.21,0.21,6.4,6.4,0.9,0.33,0.05,0.38,0.33,0.38,Matches
111,Jorge Molina\Jorge-Molina,es ESP,FW,Getafe,es La Liga,37,1982,24,19,1422,5,2,2,2,4,1,0.32,0.13,0.44,0.19,0.32,5.2,3.7,2.5,0.33,0.16,0.49,0.24,0.40,Matches
112,Rodrigo Palacio\Rodrigo-Palacio,ar ARG,FW,Bologna,it Serie A,37,1982,25,21,1912,6,3,0,0,3,0,0.28,0.14,0.42,0.28,0.42,7.0,7.0,4.2,0.33,0.20,0.53,0.33,0.53,Matches
113,Jay Rodriguez\Jay-Rodriguez,eng ENG,FW,Burnley,eng Premier League,30,1989,28,12,1390,5,0,1,1,1,0,0.32,0.00,0.32,0.26,0.26,5.1,4.4,0.4,0.33,0.03,0.36,0.28,0.31,Matches
114,Júlio Tavares\Julio-Tavares,cv CPV,FW,Dijon,fr Ligue 1,30,1988,23,22,1997,5,2,1,1,0,0,0.23,0.09,0.32,0.18,0.27,7.3,6.5,2.6,0.33,0.12,0.45,0.29,0.41,Matches
115,Wylan Cyprien\Wylan-Cyprien,fr FRA,MF,Nice,fr Ligue 1,24,1995,20,20,1772,7,3,5,5,3,1,0.36,0.15,0.51,0.10,0.25,6.3,2.5,2.6,0.32,0.13,0.45,0.13,0.26,Matches
116,Streli Mamba\Streli-Mamba,de GER,FW,Paderborn 07,de Bundesliga,25,1994,21,16,1368,5,2,0,0,4,0,0.33,0.13,0.46,0.33,0.46,4.9,4.9,1.5,0.32,0.10,0.42,0.32,0.42,Matches
117,Borja Mayoral\Borja-Mayoral,es ESP,FW,Levante,es La Liga,22,1997,23,17,1481,5,1,0,0,2,0,0.30,0.06,0.36,0.30,0.36,5.2,5.2,1.1,0.32,0.06,0.38,0.32,0.38,Matches
118,Domenico Criscito\Domenico-Criscito,it ITA,DF,Genoa,it Serie A,32,1986,19,19,1627,7,0,6,7,6,0,0.39,0.00,0.39,0.06,0.06,5.6,0.3,1.0,0.31,0.06,0.36,0.01,0.07,Matches
119,Antoine Griezmann\Antoine-Griezmann,fr FRA,FW,Barcelona,es La Liga,28,1991,26,25,2128,8,4,0,0,2,0,0.34,0.17,0.51,0.34,0.51,7.2,7.2,3.0,0.31,0.13,0.43,0.31,0.43,Matches
120,Kai Havertz\Kai-Havertz,de GER,MFFW,Leverkusen,de Bundesliga,20,1999,26,26,2184,11,5,1,1,3,0,0.45,0.21,0.66,0.41,0.62,7.6,6.8,5.8,0.31,0.24,0.55,0.28,0.52,Matches
121,Jaime Mata\Jaime-Mata,es ESP,FW,Getafe,es La Liga,30,1988,24,23,1947,8,3,2,2,10,0,0.37,0.14,0.51,0.28,0.42,6.6,5.1,2.0,0.31,0.09,0.40,0.24,0.33,Matches
122,Santi Mina\Santi-Mina,es ESP,FW,Celta Vigo,es La Liga,23,1995,24,15,1386,3,2,0,0,4,0,0.19,0.13,0.32,0.19,0.32,4.7,4.7,1.6,0.31,0.11,0.41,0.31,0.41,Matches
123,Lucas Ocampos\Lucas-Ocampos,ar ARG,FW,Sevilla,es La Liga,25,1994,22,22,1912,10,2,2,2,8,1,0.47,0.09,0.56,0.38,0.47,6.5,5.0,1.9,0.31,0.09,0.40,0.24,0.33,Matches
124,Mikel Oyarzabal\Mikel-Oyarzabal,es ESP,FWMF,Real Sociedad,es La Liga,22,1997,26,25,2154,8,6,4,4,3,0,0.33,0.25,0.58,0.17,0.42,7.5,4.5,4.7,0.31,0.20,0.51,0.19,0.38,Matches
125,Martin Braithwaite\Martin-Braithwaite,dk DEN,FWMF,Leganés,es La Liga,28,1991,24,21,1934,6,1,0,1,3,0,0.28,0.05,0.33,0.28,0.33,6.5,5.8,1.2,0.30,0.06,0.36,0.27,0.33,Matches
126,Ante Budimir\Ante-Budimir,hr CRO,FW,Mallorca,es La Liga,28,1991,25,25,2045,9,2,0,0,6,0,0.40,0.09,0.48,0.40,0.48,6.7,6.7,0.8,0.30,0.04,0.33,0.30,0.33,Matches
127,Santi Cazorla\Santi-Cazorla,es ESP,MF,Villarreal,es La Liga,34,1984,24,21,1825,8,6,6,6,3,0,0.39,0.30,0.69,0.10,0.39,6.0,1.5,5.2,0.30,0.26,0.56,0.07,0.33,Matches
128,Sébastien Haller\Sebastien-Haller,fr FRA,FW,West Ham,eng Premier League,25,1994,27,24,2147,7,1,0,0,1,0,0.29,0.04,0.34,0.29,0.34,7.0,7.0,1.9,0.30,0.08,0.38,0.30,0.38,Matches
129,Joaquín\Joaquin,es ESP,MFFW,Betis,es La Liga,38,1981,26,21,1706,8,2,2,3,3,0,0.42,0.11,0.53,0.32,0.42,5.8,3.5,4.3,0.30,0.23,0.53,0.18,0.41,Matches
130,Stefano Okaka\Stefano-Okaka,it ITA,FW,Udinese,it Serie A,29,1989,22,20,1730,5,2,0,0,8,0,0.26,0.10,0.36,0.26,0.36,5.8,5.8,1.6,0.30,0.08,0.38,0.30,0.38,Matches
131,Renato Steffen\Renato-Steffen,ch SUI,MFFW,Wolfsburg,de Bundesliga,27,1991,23,15,1315,6,1,0,0,5,0,0.41,0.07,0.48,0.41,0.48,4.4,4.4,1.9,0.30,0.13,0.43,0.30,0.43,Matches
132,Roberto Torres\Roberto-Torres,es ESP,MFFW,Osasuna,es La Liga,30,1989,26,24,2068,6,7,5,5,1,0,0.26,0.30,0.57,0.04,0.35,6.9,3.2,4.1,0.30,0.18,0.48,0.14,0.32,Matches
133,Anwar El Ghazi\Anwar-El-Ghazi,nl NED,FWMF,Aston Villa,eng Premier League,24,1995,25,21,1675,4,4,1,1,3,0,0.21,0.21,0.43,0.16,0.38,5.5,4.7,2.5,0.29,0.14,0.43,0.25,0.39,Matches
134,Joshua King\Joshua-King,no NOR,FWMF,Bournemouth,eng Premier League,27,1992,19,17,1462,4,2,1,1,0,0,0.25,0.12,0.37,0.18,0.31,4.8,4.0,2.7,0.29,0.17,0.46,0.25,0.41,Matches
135,Gelson Martins\Gelson-Martins,pt POR,DFFW,Monaco,fr Ligue 1,24,1995,21,20,1674,4,1,0,0,3,1,0.22,0.05,0.27,0.22,0.27,5.5,5.5,4.3,0.29,0.23,0.52,0.29,0.52,Matches
136,Lucas Moura\Lucas-Moura,br BRA,FWMF,Tottenham,eng Premier League,26,1992,27,18,1682,4,2,0,0,2,0,0.21,0.11,0.32,0.21,0.32,5.4,5.4,1.7,0.29,0.09,0.38,0.29,0.38,Matches
137,Riccardo Orsolini\Riccardo-Orsolini,it ITA,FWMF,Bologna,it Serie A,22,1997,26,24,1972,7,4,0,0,3,0,0.32,0.18,0.50,0.32,0.50,6.4,6.4,5.3,0.29,0.24,0.54,0.29,0.54,Matches
138,Ayoze Pérez\Ayoze-Perez,es ESP,MFFW,Leicester City,eng Premier League,26,1993,25,21,1581,7,4,1,1,0,0,0.40,0.23,0.63,0.34,0.57,5.1,4.3,3.0,0.29,0.17,0.46,0.24,0.42,Matches
139,Nils Petersen\Nils-Petersen,de GER,FWMF,Freiburg,de Bundesliga,30,1988,29,23,2229,9,2,1,1,1,0,0.36,0.08,0.44,0.32,0.40,7.2,6.5,2.0,0.29,0.08,0.37,0.26,0.34,Matches
140,Antonio Puertas\Antonio-Puertas,es ESP,FWMF,Granada,es La Liga,27,1992,26,19,1821,5,0,0,0,5,0,0.25,0.00,0.25,0.25,0.25,5.9,5.9,0.9,0.29,0.04,0.33,0.29,0.33,Matches
141,Moses Simon\Moses-Simon,ng NGA,FWMF,Nantes,fr Ligue 1,24,1995,26,25,2177,5,5,0,0,2,0,0.21,0.21,0.41,0.21,0.41,7.0,7.0,3.7,0.29,0.15,0.44,0.29,0.44,Matches
142,Ludovic Ajorque\Ludovic-Ajorque,re REU,FW,Strasbourg,fr Ligue 1,25,1994,26,24,2058,8,4,1,1,3,0,0.35,0.17,0.52,0.31,0.48,6.4,5.7,3.0,0.28,0.13,0.41,0.25,0.38,Matches
143,Gaëtan Charbonnier\Gaetan-Charbonnier,fr FRA,FWMF,Brest,fr Ligue 1,30,1988,26,23,2065,4,5,0,2,5,0,0.17,0.22,0.39,0.17,0.39,6.5,4.9,3.3,0.28,0.14,0.43,0.22,0.36,Matches
144,Kalifa Coulibaly\Kalifa-Coulibaly,ml MLI,FW,Nantes,fr Ligue 1,27,1991,21,18,1616,4,0,0,0,1,0,0.22,0.00,0.22,0.22,0.22,5.0,5.0,0.9,0.28,0.05,0.33,0.28,0.33,Matches
145,Rubén García\Ruben-Garcia,es ESP,MFFW,Osasuna,es La Liga,26,1993,24,22,1857,6,2,1,1,5,0,0.29,0.10,0.39,0.24,0.34,5.7,5.0,3.3,0.28,0.16,0.44,0.24,0.40,Matches
146,Dodi Lukebakio\Dodi-Lukebakio,cd COD,FWMF,Hertha BSC,de Bundesliga,21,1997,26,20,1738,6,5,0,0,1,0,0.31,0.26,0.57,0.31,0.57,5.4,5.4,4.1,0.28,0.21,0.49,0.28,0.49,Matches
147,Fabián Orellana\Fabian-Orellana,cl CHI,MFFW,Eibar,es La Liga,33,1986,24,24,2075,7,6,3,4,8,1,0.30,0.26,0.56,0.17,0.43,6.5,3.5,4.3,0.28,0.19,0.47,0.15,0.34,Matches
148,Dimitri Payet\Dimitri-Payet,fr FRA,FW,Marseille,fr Ligue 1,32,1987,22,22,1930,9,4,3,3,6,1,0.42,0.19,0.61,0.28,0.47,6.0,3.7,7.1,0.28,0.33,0.61,0.17,0.51,Matches
149,Benito Raman\Benito-Raman,be BEL,FW,Schalke 04,de Bundesliga,24,1994,21,18,1448,4,3,0,0,2,0,0.25,0.19,0.44,0.25,0.44,4.5,4.5,2.2,0.28,0.13,0.41,0.28,0.41,Matches
150,Richarlison\Richarlison,br BRA,FW,Everton,eng Premier League,22,1997,27,27,2352,10,3,0,0,5,0,0.38,0.11,0.50,0.38,0.50,7.4,7.4,5.1,0.28,0.19,0.48,0.28,0.48,Matches
151,Mama Samba Baldé\Mama-Samba-Balde,gw GNB,FWMF,Dijon,fr Ligue 1,23,1995,24,20,1676,6,2,0,0,2,0,0.32,0.11,0.43,0.32,0.43,5.2,5.2,2.7,0.28,0.15,0.42,0.28,0.42,Matches
152,Bernardo Silva\Bernardo-Silva,pt POR,FWMF,Manchester City,eng Premier League,24,1994,24,17,1497,5,5,0,0,5,0,0.30,0.30,0.60,0.30,0.60,4.6,4.6,3.8,0.28,0.23,0.50,0.28,0.50,Matches
153,Enes Ünal\Enes-Unal,tr TUR,FW,Valladolid,es La Liga,22,1997,24,17,1713,4,2,1,1,2,0,0.21,0.11,0.32,0.16,0.26,5.4,4.6,2.4,0.28,0.13,0.41,0.24,0.37,Matches
154,Valerio Verre\Valerio-Verre,it ITA,FWMF,Hellas Verona,it Serie A,25,1994,23,17,1360,3,0,2,2,4,0,0.20,0.00,0.20,0.07,0.07,4.2,2.6,2.4,0.28,0.16,0.43,0.17,0.33,Matches
155,Carlos Fernández\Carlos-Fernandez,es ESP,FWMF,Granada,es La Liga,23,1996,23,13,1399,5,3,0,0,6,0,0.32,0.19,0.51,0.32,0.51,4.1,4.1,1.4,0.27,0.09,0.36,0.27,0.36,Matches
156,Aleksandar Kolarov\Aleksandar-Kolarov,rs SRB,DF,Roma,it Serie A,33,1985,23,22,1988,6,3,2,4,6,0,0.27,0.14,0.41,0.18,0.32,6.0,3.0,3.7,0.27,0.17,0.44,0.14,0.31,Matches
157,Yuya Osako\Yuya-Osako,jp JPN,FWMF,Werder Bremen,de Bundesliga,29,1990,23,17,1421,4,1,0,0,2,0,0.25,0.06,0.32,0.25,0.32,4.2,4.2,2.0,0.27,0.12,0.39,0.27,0.39,Matches
158,Renaud Ripart\Renaud-Ripart,fr FRA,FWDF,Nîmes,fr Ligue 1,26,1993,24,23,2027,4,2,2,2,0,0,0.18,0.09,0.27,0.09,0.18,6.1,4.6,1.6,0.27,0.07,0.34,0.20,0.27,Matches
159,Rodrigo\Rodrigo,es ESP,FW,Valencia,es La Liga,28,1991,21,17,1369,2,7,0,0,2,1,0.13,0.46,0.59,0.13,0.59,4.1,4.1,4.3,0.27,0.28,0.55,0.27,0.55,Matches
160,Marcel Sabitzer\Marcel-Sabitzer,at AUT,MFFW,RB Leipzig,de Bundesliga,25,1994,29,27,2304,9,6,0,0,4,0,0.35,0.23,0.59,0.35,0.59,6.8,6.8,4.4,0.27,0.17,0.44,0.27,0.44,Matches
161,Boulaye Dia\Boulaye-Dia,fr FRA,FW,Reims,fr Ligue 1,22,1996,24,21,1812,7,1,1,1,0,0,0.35,0.05,0.40,0.30,0.35,5.2,4.5,2.2,0.26,0.11,0.37,0.22,0.33,Matches
162,Moussa Diaby\Moussa-Diaby,fr FRA,FWMF,Leverkusen,de Bundesliga,20,1999,23,14,1385,4,5,0,0,3,0,0.26,0.32,0.58,0.26,0.58,4.0,4.0,3.5,0.26,0.23,0.48,0.26,0.48,Matches
163,Nabil Fekir\Nabil-Fekir,fr FRA,MFFW,Betis,es La Liga,26,1993,22,21,1816,7,3,1,1,7,1,0.35,0.15,0.50,0.30,0.45,5.3,4.6,1.5,0.26,0.08,0.34,0.23,0.30,Matches
164,Max Gradel\Max-Gradel,ci CIV,MFFW,Toulouse,fr Ligue 1,31,1987,21,19,1635,3,2,2,3,4,0,0.17,0.11,0.28,0.06,0.17,4.8,2.5,1.9,0.26,0.10,0.37,0.14,0.24,Matches
165,Lucas Höler\Lucas-Holer,de GER,FWMF,Freiburg,de Bundesliga,25,1994,29,23,2098,5,2,0,1,4,0,0.21,0.09,0.30,0.21,0.30,6.0,5.2,1.8,0.26,0.08,0.33,0.22,0.30,Matches
166,Efthimis Koulouris\Efthimis-Koulouris,gr GRE,FW,Toulouse,fr Ligue 1,23,1996,24,17,1541,4,2,0,0,1,0,0.23,0.12,0.35,0.23,0.35,4.4,4.4,1.3,0.26,0.08,0.34,0.26,0.34,Matches
167,Wesley Moraes\Wesley-Moraes,br BRA,FW,Aston Villa,eng Premier League,22,1996,21,21,1782,5,1,0,1,3,0,0.25,0.05,0.30,0.25,0.30,5.2,4.3,0.9,0.26,0.05,0.31,0.22,0.26,Matches
168,Florian Neuhaus\Florian-Neuhaus,de GER,MF,M'gladbach,de Bundesliga,22,1997,25,21,1907,4,2,0,0,6,0,0.19,0.09,0.28,0.19,0.28,5.4,5.2,2.7,0.26,0.13,0.38,0.24,0.37,Matches
169,Todd Cantwell\Todd-Cantwell,eng ENG,FW,Norwich City,eng Premier League,21,1998,29,25,2070,6,2,0,0,4,0,0.26,0.09,0.35,0.26,0.35,5.7,5.7,2.6,0.25,0.11,0.36,0.25,0.36,Matches
170,Mounir Chouiar\Mounir-Chouiar,fr FRA,MFFW,Dijon,fr Ligue 1,20,1999,20,18,1506,4,0,0,0,4,1,0.24,0.00,0.24,0.24,0.24,4.1,4.1,3.1,0.25,0.18,0.43,0.25,0.43,Matches
171,Youssef En-Nesyri\Youssef-En-Nesyri,ma MAR,FW,Leganés,es La Liga,22,1997,18,15,1385,4,2,0,0,2,0,0.26,0.13,0.39,0.26,0.39,3.9,3.9,0.7,0.25,0.04,0.30,0.25,0.30,Matches
172,Maxi Gómez\Maxi-Gomez,uy URU,FW,Valencia,es La Liga,22,1996,22,17,1505,8,2,0,1,5,0,0.48,0.12,0.60,0.48,0.60,4.1,3.4,1.7,0.25,0.10,0.35,0.20,0.30,Matches
173,Darwin Machís\Darwin-Machis,ve VEN,FWMF,Granada,es La Liga,26,1993,26,13,1429,6,3,1,1,3,0,0.38,0.19,0.57,0.31,0.50,4.0,3.3,2.3,0.25,0.14,0.40,0.21,0.35,Matches
174,Riyad Mahrez\Riyad-Mahrez,dz ALG,FWMF,Manchester City,eng Premier League,28,1991,23,15,1389,7,8,0,0,0,0,0.45,0.52,0.97,0.45,0.97,3.9,3.9,7.0,0.25,0.46,0.71,0.25,0.71,Matches
175,Nicolas Pépé\Nicolas-Pepe,ci CIV,FW,Arsenal,eng Premier League,24,1995,24,17,1591,4,6,1,1,3,0,0.23,0.34,0.57,0.17,0.51,4.4,3.6,3.4,0.25,0.19,0.44,0.20,0.40,Matches
176,Portu\Portu,es ESP,FWMF,Real Sociedad,es La Liga,27,1992,24,19,1775,7,7,0,1,5,0,0.35,0.35,0.71,0.35,0.71,4.9,4.2,5.0,0.25,0.25,0.50,0.21,0.47,Matches
177,Adrien Thomasson\Adrien-Thomasson,fr FRA,MF,Strasbourg,fr Ligue 1,25,1993,25,24,2072,8,1,0,0,4,0,0.35,0.04,0.39,0.35,0.39,5.9,5.9,4.2,0.25,0.18,0.44,0.25,0.44,Matches
178,Ruben Vargas\Ruben-Vargas,ch SUI,FWMF,Augsburg,de Bundesliga,20,1998,28,24,2101,4,1,0,0,8,0,0.17,0.04,0.21,0.17,0.21,5.9,5.9,3.2,0.25,0.14,0.39,0.25,0.39,Matches
179,Iñaki Williams\Inaki-Williams,es ESP,FW,Athletic Club,es La Liga,25,1994,27,25,2192,6,0,1,2,2,0,0.25,0.00,0.25,0.21,0.21,6.2,4.6,2.1,0.25,0.09,0.34,0.19,0.28,Matches
180,Jonathan Bamba\Jonathan-Bamba,fr FRA,FWMF,Lille,fr Ligue 1,23,1996,26,22,1937,1,4,1,3,1,0,0.05,0.19,0.23,0.00,0.19,5.1,2.9,2.5,0.24,0.11,0.35,0.13,0.25,Matches
181,İlkay Gündoğan\Ilkay-Gundogan,de GER,MF,Manchester City,eng Premier League,28,1990,25,17,1593,2,1,1,2,7,0,0.11,0.06,0.17,0.06,0.11,4.3,2.8,2.4,0.24,0.14,0.38,0.16,0.29,Matches
182,Lago Junior\Lago-Junior,ci CIV,MFFW,Mallorca,es La Liga,28,1990,24,20,1760,4,0,3,3,2,0,0.20,0.00,0.20,0.05,0.05,4.7,2.4,0.9,0.24,0.04,0.29,0.12,0.17,Matches
183,Karim Onisiwo\Karim-Onisiwo,at AUT,FW,Mainz 05,de Bundesliga,27,1992,27,13,1395,4,5,0,0,3,0,0.26,0.32,0.58,0.26,0.58,3.6,3.6,3.3,0.24,0.21,0.45,0.24,0.45,Matches
184,Remi Oudin\Remi-Oudin,fr FRA,FWMF,Reims,fr Ligue 1,22,1996,18,16,1397,3,2,0,0,1,0,0.19,0.13,0.32,0.19,0.32,3.7,3.7,2.1,0.24,0.13,0.37,0.24,0.37,Matches
185,Sergio Ramos\Sergio-Ramos,es ESP,DF,Real Madrid,es La Liga,33,1986,25,25,2219,5,0,3,3,7,0,0.20,0.00,0.20,0.08,0.08,5.9,3.6,0.1,0.24,0.00,0.24,0.15,0.15,Matches
186,Gerard Deulofeu\Gerard-Deulofeu,es ESP,FW,Watford,eng Premier League,25,1994,28,25,2098,4,5,1,1,3,0,0.17,0.21,0.39,0.13,0.34,5.3,4.5,4.6,0.23,0.20,0.42,0.19,0.39,Matches
187,Robin Gosens\Robin-Gosens,de GER,DF,Atalanta,it Serie A,25,1994,22,21,1760,7,5,0,0,2,0,0.36,0.26,0.61,0.36,0.61,4.5,4.5,2.4,0.23,0.12,0.35,0.23,0.35,Matches
188,Thorgan Hazard\Thorgan-Hazard,be BEL,FWMF,Dortmund,de Bundesliga,26,1993,28,23,2005,7,13,0,0,2,0,0.31,0.58,0.90,0.31,0.90,5.1,5.1,6.4,0.23,0.29,0.51,0.23,0.51,Matches
189,Daichi Kamada\Daichi-Kamada,jp JPN,MFFW,Eint Frankfurt,de Bundesliga,22,1996,24,18,1609,2,2,0,0,4,0,0.11,0.11,0.22,0.11,0.22,4.2,4.2,1.9,0.23,0.11,0.34,0.23,0.34,Matches
190,Mason Mount\Mason-Mount,eng ENG,MFFW,Chelsea,eng Premier League,20,1999,29,25,2298,6,4,0,0,3,0,0.23,0.16,0.39,0.23,0.39,5.9,5.9,3.4,0.23,0.13,0.36,0.23,0.36,Matches
191,Andrea Pinamonti\Andrea-Pinamonti,it ITA,FW,Genoa,it Serie A,20,1999,20,15,1402,2,1,0,0,1,0,0.13,0.06,0.19,0.13,0.19,3.6,3.6,0.6,0.23,0.04,0.27,0.23,0.27,Matches
192,Milot Rashica\Milot-Rashica,xk KVX,FW,Werder Bremen,de Bundesliga,23,1996,25,24,2059,7,5,2,2,2,0,0.31,0.22,0.52,0.22,0.44,5.3,3.8,2.6,0.23,0.11,0.34,0.17,0.28,Matches
193,Nicolò Zaniolo\Nicolo-Zaniolo,it ITA,FWMF,Roma,it Serie A,20,1999,18,15,1289,4,1,0,0,6,0,0.28,0.07,0.35,0.28,0.35,3.2,3.2,2.4,0.23,0.17,0.40,0.23,0.40,Matches
194,Luis Alberto\Luis-Alberto,es ESP,MF,Lazio,it Serie A,26,1992,25,25,2147,4,12,1,1,4,0,0.17,0.50,0.67,0.13,0.63,5.2,4.4,7.6,0.22,0.32,0.54,0.19,0.51,Matches
195,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Crystal Palace,eng Premier League,27,1991,28,28,2382,8,1,0,0,5,0,0.30,0.04,0.34,0.30,0.34,5.7,5.7,1.7,0.22,0.06,0.28,0.22,0.28,Matches
196,Daniel Parejo\Daniel-Parejo,es ESP,MF,Valencia,es La Liga,30,1989,25,25,2210,8,3,5,5,6,1,0.33,0.12,0.45,0.12,0.24,5.3,1.5,3.1,0.22,0.13,0.34,0.06,0.19,Matches
197,Nicolas de Préville\Nicolas-de-Preville,fr FRA,MFFW,Bordeaux,fr Ligue 1,28,1991,24,23,1995,6,4,1,1,4,0,0.27,0.18,0.45,0.23,0.41,4.9,4.2,4.8,0.22,0.21,0.44,0.19,0.40,Matches
198,João Victor Santos Sá\Joao-Victor-Santos-Sa,br BRA,MFFW,Wolfsburg,de Bundesliga,25,1994,27,16,1407,1,2,0,0,4,0,0.06,0.13,0.19,0.06,0.19,3.4,3.4,1.5,0.22,0.10,0.31,0.22,0.31,Matches
199,Harry Wilson\Harry-Wilson,wal WAL,MFFW,Bournemouth,eng Premier League,22,1997,23,19,1435,7,0,0,0,1,0,0.44,0.00,0.44,0.44,0.44,3.5,3.5,1.8,0.22,0.11,0.33,0.22,0.33,Matches
200,Kevin De Bruyne\Kevin-De-Bruyne,be BEL,MF,Manchester City,eng Premier League,28,1991,26,25,2147,8,17,0,0,2,0,0.34,0.71,1.05,0.34,1.05,4.9,4.9,13.4,0.21,0.56,0.77,0.21,0.77,Matches
201,Jack Grealish\Jack-Grealish,eng ENG,FWMF,Aston Villa,eng Premier League,23,1995,26,26,2333,7,6,0,1,7,0,0.27,0.23,0.50,0.27,0.50,5.5,4.7,5.1,0.21,0.20,0.41,0.18,0.38,Matches
202,Davy Klaassen\Davy-Klaassen,nl NED,MF,Werder Bremen,de Bundesliga,26,1993,28,28,2519,4,4,1,3,5,0,0.14,0.14,0.29,0.11,0.25,6.0,3.7,2.5,0.21,0.09,0.30,0.13,0.22,Matches
203,Iker Muniain\Iker-Muniain,es ESP,FWMF,Athletic Club,es La Liga,26,1992,20,17,1573,4,2,0,0,0,1,0.23,0.11,0.34,0.23,0.34,3.7,3.7,2.0,0.21,0.11,0.33,0.21,0.33,Matches
204,Marco Richter\Marco-Richter,de GER,FWMF,Augsburg,de Bundesliga,21,1997,26,22,1931,4,3,0,0,2,0,0.19,0.14,0.33,0.19,0.33,4.5,4.5,1.8,0.21,0.09,0.29,0.21,0.29,Matches
205,Miguel Almirón\Miguel-Almiron,py PAR,FWMF,Newcastle Utd,eng Premier League,25,1994,28,28,2370,2,1,0,0,5,0,0.08,0.04,0.11,0.08,0.11,5.2,5.2,0.8,0.20,0.03,0.23,0.20,0.23,Matches
206,Jeremie Boga\Jeremie-Boga,ci CIV,FW,Sassuolo,it Serie A,22,1997,24,21,1869,8,2,0,0,0,0,0.39,0.10,0.48,0.39,0.48,4.1,4.1,2.3,0.20,0.11,0.31,0.20,0.31,Matches
207,Jonathan Calleri\Jonathan-Calleri,ar ARG,FW,Espanyol,es La Liga,25,1993,19,15,1358,1,3,0,0,2,0,0.07,0.20,0.27,0.07,0.27,3.0,3.0,2.0,0.20,0.13,0.33,0.20,0.33,Matches
208,Matt Doherty\Matt-Doherty,ie IRL,DF,Wolves,eng Premier League,27,1992,27,24,2149,4,1,0,0,1,0,0.17,0.04,0.21,0.17,0.21,4.7,4.7,0.8,0.20,0.03,0.23,0.20,0.23,Matches
209,Angelo Fulgini\Angelo-Fulgini,fr FRA,MF,Angers,fr Ligue 1,22,1996,20,19,1579,1,1,0,0,3,1,0.06,0.06,0.11,0.06,0.11,3.5,3.5,2.2,0.20,0.13,0.32,0.20,0.32,Matches
210,Sergi Guardiola\Sergi-Guardiola,es ESP,FW,Valladolid,es La Liga,28,1991,25,24,2056,6,2,0,0,5,0,0.26,0.09,0.35,0.26,0.35,4.6,4.6,1.5,0.20,0.07,0.27,0.20,0.27,Matches
211,Stephy Mavididi\Stephy-Mavididi,eng ENG,FWMF,Dijon,fr Ligue 1,21,1998,24,16,1391,5,1,0,0,0,0,0.32,0.06,0.39,0.32,0.39,3.2,3.2,0.9,0.20,0.06,0.26,0.20,0.26,Matches
